name,href,location
A G Josh,https://www.rekhta.org/poets/a-g-josh,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
A. D. Azhar,https://www.rekhta.org/poets/a-d-azhar,
A. Hameed,https://www.rekhta.org/authors/a-hameed,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
A. Khayyam,https://www.rekhta.org/authors/a-khayyam-1,"<a href=""/domicile/pakistan/sindh/other-19/karachi/poets"">Karachi</a>"
A. S Bukhari,https://www.rekhta.org/authors/a-s-bukhari,
A.D.Rahi,https://www.rekhta.org/poets/adrahi,
A.R Sahil 'Aleeg',https://www.rekhta.org/poets/ar-sahil-aleeg,"<a href=""/domicile/india/uttar-pradesh/na/na/poets"">Uttar pradesh</a>"
Aabid Adeeb,https://www.rekhta.org/poets/aabid-adeeb,"<a href=""/domicile/india/rajasthan/other-15/udaipur/poets"">Udaipur</a>"
Aabid Jafri,https://www.rekhta.org/poets/aabid-jafri,
aabid umar,https://www.rekhta.org/poets/aabid-umar,"<a href=""/domicile/pakistan/punjab/other-57/kasur/poets"">Kasur</a>"
Aabida Urooj,https://www.rekhta.org/poets/aabida-urooj,
Aabidullah Ghazi,https://www.rekhta.org/poets/aabidullah-ghazi,"<a href=""/domicile/usa/illinoi/other-64/chicago/poets"">Chicago</a>"
Aadarsh Dubey,https://www.rekhta.org/poets/aadarsh-dubey,"<a href=""/domicile/india/madhya-pradesh/other-17/sagar/poets"">Sagar</a>"
Aadil Aseer Dehlvi,https://www.rekhta.org/poets/aadil-aseer-dehlvi,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Aadil Farhat,https://www.rekhta.org/poets/aadil-farhat,"<a href=""/domicile/india/jammu-and-kashmir/na/na/poets"">Jammu and Kashmir</a>"
Aadil Rahi,https://www.rekhta.org/poets/aadil-rahi,"<a href=""/domicile/india/maharashtra/other-30/yavatmal/poets"">yavatmal</a>"
Aadil Rasheed,https://www.rekhta.org/poets/aadil-rasheed,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Aadil Raza Mansoori,https://www.rekhta.org/poets/aadil-raza-mansoori,"<a href=""/domicile/india/rajasthan/other-15/jaipur/poets"">Jaipur</a>"
Aafaque Siddiqui,https://www.rekhta.org/poets/aafaque-siddiqui,"<a href=""/domicile/pakistan/sindh/other-19/karachi/poets"">Karachi</a>"
Aaftab Lakhnvi,https://www.rekhta.org/poets/aaftab-lakhnvi,
